Comune,Cratere Centro Italia 2016,media_prima,media_dopo,varPhones,Variaz
Carpineto della Nora,0.0,915.2986984188199,1009.148123869801,0.10253420617018923,1.5283761114284535
Carsoli,0.0,87.10411685306595,85.5255650994575,-0.018122584909175718,-4.576151165743442
Cartoceto,0.0,1693.5698611646742,2083.22698915009,0.23008033912309186,7.921837093045486
Casacanditella,0.0,1333.668704203625,1605.894744575045,0.20411818880759786,7.328169911160409
Casalincontrada,0.0,1932.145603548014,2371.6954000904157,0.2274931018321047,6.721116987511008
Casaprota,0.0,610.0998457385267,597.8307979204341,-0.020109901524792136,-2.384063946869297
Cascia,1.0,7258.174961434632,6685.336437613019,-0.0789232178702381,-11.661740658834258
Casoli,0.0,478.8759930582337,474.64238245931284,-0.008840724238197548,-4.481625566552423
Casperia,0.0,1762.665455071346,1961.0877260397829,0.11256944441587495,2.4173365592742546
Castel Castagna,0.0,852.2499614346317,759.9680831826402,-0.10828029618992202,-4.592459391966441
Castel Focognano,0.0,2080.3609718472812,2580.3091546112114,0.24031799746752375,-5.611104056979188
Castel Frentano,0.0,3584.9454974932514,4184.591297468354,0.16726775913173605,3.429852799747702
Castel Giorgio,0.0,1461.6495179328963,1636.9143309222422,0.11990891854649953,14.786270102315749
Castel Ritaldi,0.0,2658.4111550327807,2559.443625678119,-0.03722807480976027,-14.140936940046878
Castel Sant'Angelo,1.0,1766.43475703818,2106.7486098553345,0.19265577257309313,2.892248378418711
Castel Sant'Elia,0.0,3132.8431160817586,3898.1819959312834,0.24429530988028944,16.602598345028387
Castel Viscardo,0.0,1241.6999710759737,1536.0625904159133,0.237064207293864,18.51850275837211
Castel del Monte,0.0,1571.44586386425,1539.4038539783003,-0.02039014554860776,0.0864628374161951
Castel di Lama,1.0,2382.260171615889,3152.2388788426765,0.32321352487058985,20.919352552232905
Castel di Tora,0.0,438.3015618974161,369.592845840868,-0.15676128499087869,-12.940108635281744
Castelbellino,0.0,3809.0727053605865,4108.407911392405,0.07858479718976177,-2.550271647654351
Casteldelci,0.0,541.7684535287312,515.5369462025317,-0.04841829965429769,-3.6408142595050377
Castelfidardo,0.0,16545.64822599306,19399.47714737794,0.1724821465079586,7.416424035458418
Castellalto,0.0,4688.653952950251,6919.143410940325,0.4757206397342631,24.99814799925873
Castelleone di Suasa,0.0,2110.054656768222,2222.376910036166,0.05323191648503455,-5.020527384564186
Castelli,1.0,2608.158494022368,2527.6061934900545,-0.03088474136711057,-6.437174249836854
Castelnuovo di Farfa,0.0,732.7392499035866,821.890585443038,0.12166856839070915,23.24995185004307
Castelplanio,0.0,4220.738767836483,5078.138618896925,0.20313975780593943,13.55754720059615
Castelraimondo,1.0,5872.919716544543,7432.322943037974,0.26552435615635134,12.111449823178312
Castelsantangelo sul Nera,1.0,1603.5183474739686,633.0467224231465,-0.6052139201148595,-52.03567319064033
Castelvecchio Calvisio,0.0,257.5979078287698,258.6032549728752,0.0039027768221382517,6.148827759839551
Castiglion Fiorentino,0.0,21699.44809101427,24626.597637884268,0.13489511505512108,1.459176783231691
Castiglione Messer Raimondo,0.0,2071.0307462398764,2172.9047129294754,0.04918998275354406,5.464490777583008
Castiglione a Casauria,0.0,1276.4147705360585,1236.5899977396023,-0.031200495102176685,1.442011897445068
Castiglione del Lago,0.0,30129.641226378713,30589.424932188067,0.015260178584762231,1.0867797256701337
Castiglione in Teverina,0.0,1406.0126687234863,1508.0488358951175,0.07257129998997053,1.8861192456627391
Castignano,1.0,3649.07760316236,3561.819744575045,-0.02391230554036326,-5.115348075209465
Castilenti,0.0,1809.1836675665252,1920.283284358047,0.06140869983695926,5.956511589963052
Castorano,1.0,1971.230408792904,2443.855639692586,0.2397615361408194,10.35164045726727
Catignano,0.0,915.038681064404,1138.3658679927667,0.24406311071853362,32.16581497769451
Celano,0.0,1.405215966062476,1.327622061482821,-0.055218490576277125,-1.7463686318691525
Celleno,0.0,1023.8977632086386,1227.1843128390597,0.19854184366354316,30.46991125529371
Cellino Attanasio,0.0,2624.016505977632,3068.886686256781,0.16953787419618524,10.4269758315131
Cepagatti,0.0,11585.573264558427,13969.528006329114,0.20576925175239047,6.460946266008133
Cermignano,0.0,1507.4306498264557,2119.1677893309225,0.4058144496232006,33.66467090563706
Cerreto d'Esi,1.0,2905.510692248361,3337.987669529837,0.14884714705586372,9.242158024360773
Cerreto di Spoleto,1.0,2131.6631893559584,2178.0336008137433,0.021753160484886395,-4.410625517658409
Cessapalombo,1.0,1471.0768414963363,1473.9029837251355,0.0019211384130855666,-6.181333320227169
Cetona,0.0,4449.606266872349,4284.6245479204335,-0.0370778242066532,-5.933851679534927
Chianciano Terme,0.0,1778.7398380254533,1708.3741410488246,-0.03955929668429777,-4.923850622492376
Chiaravalle,0.0,14792.232751639027,15588.361810578663,0.05382074986965184,2.538314954279389
Chieti,0.0,43394.19488044736,49330.41716772152,0.1367976132205858,4.177082803112161
Chitignano,0.0,1362.573197069032,1139.5219258589511,-0.16369856070108826,-11.062096466291434
Chiusi,0.0,12100.521085615117,12343.102011754068,0.020047147095783105,-0.6741783889924451
Chiusi della Verna,0.0,5274.931999614347,4915.807764466546,-0.06808130136541214,1.3803604196731254
Cingoli,1.0,14675.178229849595,15287.66728074141,0.04173639606270686,4.437035855018631
Citerna,0.0,3942.5111357500964,4509.489059674503,0.14381136904931882,9.114104520105098
Cittaducale,1.0,6712.551291939838,6823.661392405063,0.016552588670516687,-0.8994849214850301
Cittareale,1.0,1328.6456613960663,1123.5632346292948,-0.15435449249221375,-1.3735503462532617
Città Sant'Angelo,0.0,20857.43026417277,22127.099830470164,0.06087372941998188,3.139709558973156
Città della Pieve,0.0,12493.350626687235,13314.783193942134,0.06574958086105612,2.6050824695759074
Città di Castello,0.0,54508.14256652527,74404.98987341773,0.36502523054439173,46.9973148049609
Civita Castellana,0.0,14616.556806787503,17959.57828887884,0.2287147052675865,11.982942539952733
Civitanova Marche,0.0,41116.9769475511,48463.092653707055,0.1786638087602276,9.928207100708706
Civitaquana,0.0,1080.999595063633,1320.6891726943943,0.2217295720787499,17.534247682419068
Civitella Casanova,0.0,1977.8212398765907,1942.6287409584088,-0.017793569109601507,0.0362978612439816
Civitella San Paolo,0.0,3188.3114057076746,3614.8659358047016,0.13378697241850798,11.091006840012431
Civitella d'Agliano,0.0,2238.272406478982,2072.744043851718,-0.07395362697950426,-11.333550082221215
Civitella del Tronto,1.0,5848.310142691862,6816.831815099457,0.1656070982517702,1.1551159337182335
Collalto Sabino,0.0,127.36510798303122,94.10248643761302,-0.26115960699259766,-19.797862646825333
Collazzone,0.0,5729.964664481296,5934.49879068716,0.03569553010923847,-2.1608154678308957
Colle di Tora,0.0,378.40353837254145,370.2140370705244,-0.02164224292732278,-4.217737706361106
Collecorvino,0.0,5783.247666795218,7236.482888788427,0.2512835876521467,10.95010544818157
Colledara,0.0,2268.5990262244504,2442.510386528029,0.0766602463869576,-5.713078927378117
Collegiove,0.0,142.96209988430388,111.28060578661845,-0.22160764372742547,-17.567509436010837
Collepietro,0.0,428.20393366756656,481.4273056057866,0.12429444886776703,7.607525922164826
Collevecchio,0.0,1784.3349691477054,1991.8942811934903,0.1163230646905533,0.0248216496687583
Colli del Tronto,1.0,2309.528692634015,2621.178085443038,0.1349406888959614,11.935185145454785
Colli sul Velino,0.0,734.7629772464327,798.7595275768535,0.0870982239337258,-0.0720084974793638
Colmurano,1.0,854.5169205553414,972.0492653707053,0.13754244297348833,9.929230339987232
Colonnella,0.0,5134.637581951408,5581.892190325498,0.08710538986163689,6.220266048964964
Comunanza,1.0,4701.036222522175,4349.940732368897,-0.07468470216655974,-7.672104340683679
Concerviano,0.0,737.0268414963364,592.6169755877035,-0.1959356943031372,-17.619536939945416
Configni,0.0,1883.178750482067,1533.7536618444847,-0.18555067518053422,0.328157812887311
Contigliano,0.0,5299.277718858465,5356.055865732368,0.010714318042220642,-4.592887914212255
Controguerra,0.0,2650.6532876976476,3440.0958295660034,0.29782942398855344,15.244677943669924
Corchiano,0.0,3001.341853065947,3238.220174050633,0.07892413879568862,3.180589407389864
Corciano,0.0,19763.207231006556,23103.193433544304,0.16900021152931258,10.709230600017811
Corfinio,0.0,62.58649247975318,63.34790913200724,0.012165830390644996,-3.422251286420957
Corinaldo,0.0,11170.951002699576,11488.730831826402,0.028446980838966313,-6.198428265656501
Corridonia,1.0,16838.387263787117,20915.758555605786,0.24214737598935754,8.899689781503955
Corropoli,0.0,3355.037350559198,4530.830391048824,0.3504560210912859,20.19023130163705
Cortino,1.0,1022.3455939066718,1187.7962929475586,0.16183441296856668,4.867720992535003
Cortona,0.0,45100.212350559195,49356.45654385172,0.09437304108923443,1.5673597551283045
Corvara,0.0,471.2462302352488,553.7569394213382,0.1750904386967713,9.481298661023253
Cossignano,1.0,1017.5932799845739,962.2118557866185,-0.05442392878104991,-5.199512077843284
Costacciaro,0.0,3254.714307751639,3359.783815551537,0.03228225210110075,8.218182515189877
Cottanello,0.0,1786.734400308523,2186.158589511754,0.22354983993942298,2.023556421976819
Crecchio,0.0,1741.740175472426,2252.7897490958408,0.2934132087093867,3.979301511709005
Crognaleto,1.0,2490.260065561126,2352.3861889692585,-0.05536525220742379,-6.119926783311883
Cugnoli,0.0,839.7063343617431,834.3560126582279,-0.0063716581435365105,6.049613937688603
Cupra Marittima,0.0,8259.425867720785,8780.095117540686,0.06303939985160024,4.212162268614906
Cupramontana,0.0,4735.1869456228305,4775.865528933093,0.008590702706651349,-5.256968814433938
Deruta,0.0,10735.553364828384,11982.369642857142,0.1161389856356687,6.60259348942025
Elice,0.0,1351.2854897801774,1548.700904159132,0.14609452693158834,5.1990816271576845
Esanatoglia,1.0,2711.797965676822,3320.3050293851716,0.224392477393306,10.501457971469904
Fabriano,1.0,36531.15940994986,42402.12480786619,0.1607111707578948,9.3911590313277
Fabrica di Roma,0.0,5004.6754145777095,5911.157617540687,0.18112707176224851,21.58225557353383
Fabro,0.0,2302.162369841882,3491.1517744122966,0.5164663536100094,37.8289969221979
Fagnano Alto,0.0,842.6867913613576,924.4716320072333,0.09705247724810381,-2.7583995295011574
Falconara Marittima,0.0,34303.89338603934,34907.633951175405,0.017599768001313,-5.205132819641904
Faleria,0.0,2234.29093713845,2769.817099909584,0.2396850624373051,2.105638223076925
Falerone,1.0,4950.216168530659,5010.025327757686,0.01208213079809389,0.2935630371089952
Fano,0.0,516.7550809872735,541.5534358047016,0.047988603750252996,-8.486474246897139
Fano Adriano,0.0,945.6603933667566,870.3455357142857,-0.07964260550696602,-11.607861578847258
Fara Filiorum Petri,0.0,2382.3899633629,2598.2964398734175,0.09062600154919706,5.67174451078291
Fara in Sabina,0.0,9192.810528345546,9777.330006781194,0.06358441486782668,-1.867511110515272
Farindola,0.0,2554.4614346317007,2577.9064421338153,0.009178062813657167,11.81304565894918
Ferentillo,1.0,3604.6040686463552,3782.703627938517,0.049408910354763004,-7.0934803558922175
Fermignano,0.0,7456.346538758195,8927.947276220615,0.19736217057683936,10.946583471680553
Fermo,0.0,52015.18946201311,53960.08331826401,0.037390882862615785,-0.3630540216500877
Fiamignano,0.0,798.9526513690706,1169.0308996383365,0.4632042307327055,38.47910721792813
Fiano Romano,0.0,6611.2334747396835,8202.553108047017,0.24069935502769274,20.02455885030888
Fiastra,1.0,2535.995661396066,2122.3848553345388,-0.16309602274076235,-15.353324745298597
Ficulle,0.0,3104.3826937909757,3698.745806962025,0.19145935659280192,12.707471157092169
Filacciano,0.0,573.18633821828,620.1981577757685,0.08201838812771149,-0.2446025435725297
Filetto,0.0,1149.028210566911,1228.2149525316456,0.06891627310496169,2.710675835187312
Filottrano,0.0,8054.475115696106,9880.100180831827,0.2266597188410262,18.14302761257965
Fiordimonte,1.0,596.9333397608947,410.9832504520795,-0.31150896913095627,-34.04246790315631
Fiuminata,1.0,2446.7895873505595,2662.9940099457503,0.08836249087903877,3.974561717032063
Foiano della Chiana,0.0,700.9332047821057,534.171462477396,-0.23791388561275226,-26.60602073389977
Folignano,1.0,3994.1824431160817,4940.4912409584085,0.23692177593772087,12.787996387754518
Foligno,0.0,65452.05089664481,72278.46764240507,0.10429645293376429,4.093894859001679
Fontecchio,0.0,439.77960856151174,464.8254859855334,0.05695097484384279,-0.5307023774050494
Forano,0.0,2537.5176725800234,2759.9039443942133,0.08763929970508483,-1.6596457790021173
Force,1.0,2710.5252892402623,2498.939104882459,-0.07806095194821408,-11.641492804326502
Fossa,0.0,839.7844967219438,864.2016726943942,0.029075526004304235,-6.667614376216245
Fossato di Vico,0.0,5429.971085615118,5942.136448915008,0.09432193196326595,5.85447959708524
Fossombrone,0.0,13026.123062090244,14096.94029159132,0.08220536719919842,-1.7450087252982096
Francavilla al Mare,0.0,27057.202468183572,30697.306600361666,0.1345336472408215,10.835409517311458
Francavilla d'Ete,0.0,1374.2825298881605,1600.9422016274864,0.16492945723305635,7.177060223662488
Frasso Sabino,0.0,240.9040590050135,221.474321880651,-0.08065342362686445,-12.0992260181466
Fratta Todina,0.0,2223.3380833011956,2460.8439873417724,0.1068240164752316,0.9596725891594948
Fratte Rosa,0.0,1412.692412263787,1565.8878390596744,0.10844216721628558,-0.552529237829762
Frisa,0.0,1814.008098727343,2313.859957052441,0.2755510621346069,11.16688160910429
Frontino,0.0,386.22966640956423,266.4915800180832,-0.3100178386206843,-6.470011982564852
Frontone,0.0,2000.4517643655997,2046.5984064195297,0.023068110351845663,-0.2915413477706572
Gagliole,1.0,1819.2970401079829,2021.9766726943944,0.11140546492307914,7.653664073590503
Gallese,0.0,2974.2577612803702,2748.4277915913203,-0.07592817698215697,-1.4887402939261811
Genga,0.0,4697.410827227151,4976.191105334538,0.059347646684748234,1.938561081795293
Giano dell'Umbria,0.0,5738.298630929426,6458.57034358047,0.12552008164384826,1.3412821676953393
Giove,0.0,1046.8134689548785,1326.4855673598554,0.2671651700127597,15.02337885227592
Giuliano Teatino,0.0,794.9404936367142,975.4238584990959,0.2270400945820507,14.597292359869408
Giulianova,0.0,18615.647695719246,22512.875689421337,0.2093522641491693,32.9188567479718
Gradoli,0.0,2170.181295796375,2963.1276672694394,0.3653825479967945,23.44514966139466
Graffignano,0.0,1853.3159467797918,1711.9067359855335,-0.07630064967603734,-8.424211034279642
Greccio,0.0,1381.4268607790204,1370.084640596745,-0.008210510816243513,-7.048797822365521
Grottammare,0.0,19949.474739683763,21330.718026672694,0.06923707541238382,6.816656530360459
Grottazzolina,0.0,3074.583233706132,3373.4059109403256,0.09719127911654872,4.617960250196906
Grotte di Castro,0.0,2051.591274585422,2528.973722875226,0.23268886654154425,9.54111491241537
Gualdo,1.0,1623.0596509834168,1728.1201627486437,0.06472991408638028,-3.307036035915449
Gualdo Cattaneo,0.0,8313.097088314693,8821.273406419528,0.06112960220555509,-1.0355624816534146
Gualdo Tadino,0.0,25270.354473582724,27992.672298824593,0.10772772610244713,2.338492611122347
Guardea,0.0,2729.28299267258,4156.010092676311,0.5227479538890341,44.7348200595132
Guardiagrele,0.0,6531.027284998072,7488.324514014466,0.14657682279406936,5.882343089775468
Gubbio,0.0,57846.7971365214,63130.245840867996,0.0913351985915034,0.4552266886797124
Isola del Gran Sasso d'Italia,0.0,5220.004656768222,5641.754396473779,0.08079489721502814,-1.9600912293927149
Isola del Piano,0.0,1386.0358850752025,1391.6068264014466,0.004019334121310897,-6.651597633211834
Jesi,0.0,54317.80581372927,59672.84023508137,0.09858709020235448,2.87248347579913
L'Aquila,0.0,60132.59914192055,68069.2326062387,0.13198553825333056,3.283180239099315
Labro,0.0,481.45994022367915,806.3172694394214,0.674733871035705,81.28716968609643
Lanciano,0.0,21306.292180871576,23989.220818264017,0.12592189267924936,4.718904221893709
Lapedona,0.0,1316.2670748168146,1534.5972423146475,0.16587072006508863,3.223604805562972
Latera,0.0,62.43732163517162,67.58703661844484,0.08247815326486282,10.760784117639696
Leonessa,1.0,3961.0578094870807,3734.433634719711,-0.057213044006725944,2.186809327713957
Lettomanoppello,0.0,831.567392981103,886.8620140144665,0.06649445553070164,3.063580178970524
Lisciano Niccone,0.0,2200.1477921326646,2254.053390596745,0.024500898829086484,-3.1392896082702118
Longone Sabino,0.0,737.7409274971076,702.7635623869801,-0.04741144730683879,-8.89124090520213
Loreto,0.0,16497.13629965291,18231.549819168176,0.1051342177218817,5.177471992186811
Loreto Aprutino,0.0,6561.187070960277,8177.671315551536,0.24637069894650557,10.491027104462551
Loro Piceno,1.0,3168.2595545699965,3529.020027124774,0.11386708264933833,4.930370987867817
Lubriano,0.0,721.15618010027,855.0391274864377,0.18565041953540837,7.366605972900775
Lucoli,0.0,3150.118019668338,3289.8793399638334,0.044367010830346665,-8.079441558515303
Lugnano in Teverina,0.0,1347.0705360586194,1935.160544755877,0.4365695729771839,36.08568958355332
Lunano,0.0,1342.8524199768608,1483.480266726944,0.10472323291676856,0.8743789354307714
Macerata,1.0,45464.47237755496,54795.76637658227,0.20524364434577752,15.753040827557813
Magione,0.0,16631.3797435403,17405.91065777577,0.04657045453708085,-0.2688648374368922
Magliano Romano,0.0,1230.7445526417278,1552.0550858951176,0.2610700429782231,11.510935972874794
Magliano Sabina,0.0,3671.2532780563056,4068.351503164557,0.1081642139706824,3.873554416451926
Magliano de' Marsi,0.0,259.5653008098727,250.44215641952985,-0.035147781162881336,1.598540752762632
